backgroundMotion/advertisementBoard 599
backgroundMotion/canoe 232
backgroundMotion/fall 1
backgroundMotion/fountain01 99
backgroundMotion/fountain02 193
backgroundMotion/overpass 592
basic/511 867
basic/Blurred 107
basic/CamouflageFgObjects 298
basic/ComplexBackground 90
basic/fluidHighway 142
basic/highway 1701
basic/Hybrid 232
basic/IntelligentRoom 219
basic/Intersection 1397
basic/IPPR2 300
basic/I_SI_01 64
basic/MPEG4_40 1
basic/PETS2006 1
basic/skating 2135
basic/streetCornerAtNight 81
basic/wetSnow 272
clutter/Board 229
clutter/boulevardJam 2085
clutter/Crowded 112
clutter/Foliage 390
clutter/groupCampus 301
clutter/HumanBody2 741
clutter/ICRA3 301
clutter/IndianTraffic3 902
clutter/People&Foliage 342
clutter/tramway 1001
clutter/UCF-fishes 1
illuminationChanges/CameraParameter 452
illuminationChanges/cubicle 959
illuminationChanges/Dataset3Camera1 1824
illuminationChanges/Dataset3Camera2 1802
illuminationChanges/I_IL_01 90
illuminationChanges/I_IL_02 313
intermittentMotion/AVSS2007 1
intermittentMotion/busStation 618
intermittentMotion/Candela_m1.10 351
intermittentMotion/CaVignal 259
intermittentMotion/copyMachine 1
intermittentMotion/I_CA_01 242
intermittentMotion/I_CA_02 310
intermittentMotion/I_MB_01 352
intermittentMotion/I_MB_02 143
intermittentMotion/office 1450
intermittentMotion/sofa 2601
intermittentMotion/streetCorner 1
intermittentMotion/Teknomo 1521
intermittentMotion/tramstop 1801
intermittentMotion/UCF-traffic 1795
intermittentMotion/Uturn 480
jitter/badminton 1
jitter/boulevard 2501
jitter/CMU 207
jitter/I_MC_02 85
jitter/I_SM_04 51
jitter/O_MC_02 82
jitter/O_SM_04 263
jitter/sidewalk 1201
jitter/traffic 965
veryLong/BusStopMorning 3767
veryLong/Dataset4Camera1 4157
veryLong/PedAndStorrowDrive 9371
veryLong/PedAndStorrowDrive3 3891
veryLong/Terrace 4697
veryShort/CUHK_Square 1
veryShort/DynamicBackground 8
veryShort/MIT 1
veryShort/NoisyNight 1
veryShort/pedestrians 9
veryShort/peopleInShade 9
veryShort/snowFall 1
veryShort/Toscana 1
veryShort/TownCentre 9
veryShort/TwoLeaveShop1cor 7
